Date,Open,High,Low,Close,Volume
2016-04-01,89.46485075673635,90.5719069187733,89.37484725144651,90.51790618896484,367600
2016-04-04,91.93100414577556,92.34502586101354,91.40897407867287,91.47197723388672,861500
2016-04-05,89.62688358752436,90.11291088520646,89.35686613320237,89.5728759765625,1059400
2016-04-06,89.43784597423209,91.05792958991043,89.36584042682586,90.99492645263672,753000
2016-04-07,90.67991961808663,90.85992663734682,89.95987780739063,90.08588409423828,452200
2016-04-08,90.79694273206175,91.22896928338307,90.34691822173205,90.58993530273438,424200
2016-04-11,90.76993215310868,91.40896606189838,90.13089824431898,90.22990417480469,188400
2016-04-12,90.60793413734723,91.11196626323107,89.73488548017812,90.76994323730469,295100
2016-04-13,91.43594712758812,91.9849774018918,91.15693421884676,91.8499755859375,363100
2016-04-14,90.71594007680099,90.72494248956694,89.79788624588379,90.33792114257812,547800
2016-04-15,89.88787648749813,90.4729027163756,89.38384448804001,89.59986114501953,540400
2016-04-18,88.97883095082551,90.03188647019256,88.9158278052265,89.31185150146484,342600
2016-04-19,90.22089107516385,90.67091548157784,89.41984818109316,89.77986907958984,833800
2016-04-20,89.11383755471368,89.60886029652598,85.62164366138657,86.79170989990234,2104400
2016-04-21,87.52072794488738,87.52072794488738,85.96364764108189,86.24266052246094,626600
2016-04-22,86.16169053249119,86.82772484458752,85.79266716037097,86.2876968383789,275500
2016-04-25,86.67469624355468,86.87270119784272,86.34167573833162,86.52168273925781,367000
2016-04-26,86.80970806907678,87.28673972349902,86.66570382509904,86.77371215820312,348200
2016-04-27,87.96177772900754,89.48285562639005,87.9257749507438,89.32084655761719,600200
2016-04-28,88.47482884347967,89.6268905871454,87.97979909417191,88.21381378173828,902200
2016-04-29,88.51079271436559,88.69980899880653,86.4496870746037,86.94470977783203,786700
2016-05-02,87.03472616982502,87.81777118746129,86.89072191610154,87.71876525878906,461300
2016-05-03,86.63952782535725,86.69417747640819,85.72877905707381,85.9928970336914,604700
2016-05-04,85.24607624887591,85.46465398955954,84.8999942470884,85.4100112915039,1430900
2016-05-05,84.49926630541859,85.53751930478609,84.42640473917422,84.60855865478516,464400
2016-05-06,84.13495739651377,84.45372498130841,83.62494037837955,84.08942413330078,336300
2016-05-09,84.93642728493938,85.26429737890521,84.28068709700773,84.69052124023438,456800
2016-05-10,84.26247133966257,85.16411760555764,84.20782863813979,85.01839447021484,367700
2016-05-11,83.61582026608176,84.92730037200921,83.57938949108824,84.31710052490234,897100
2016-05-12,84.52659724202604,84.64499903771676,82.3590175138854,83.36083984375,1099600
2016-05-13,83.47012021521007,84.13496287881952,83.01474586264315,83.15135955810547,770000
2016-05-16,85.75610509767311,87.78707090630293,85.41001612782729,87.27705383300781,1553600
2016-05-17,86.68506231874883,87.02204184220685,85.76520417795781,85.88360595703125,710300
2016-05-18,85.77431027335773,87.02203845641043,85.68323679577935,86.0839614868164,349400
2016-05-19,85.15502388815737,85.49200348948226,84.51750242452957,84.98197937011719,573700
2016-05-20,86.65774135743432,87.04936358162742,86.47558744591356,86.95829010009766,571700
2016-05-23,86.81258643128908,87.65047376672649,86.71240349461037,87.1586685180664,387200
2016-05-24,87.00380501743872,88.94370381235605,87.00380501743872,88.81619262695312,785500
2016-05-25,89.57212873313554,90.37359199568769,89.38998178171593,90.09125518798828,1000800
2016-05-26,90.33718600925326,90.86541509272982,89.62680297590313,90.53755187988281,748900
2016-05-27,90.5101997323932,91.52113130537171,90.5101997323932,91.1477279663086,765500
2016-05-31,91.12042328278294,91.29346083564623,90.47378549839699,91.05667114257812,509600
2016-06-01,90.0821638239524,91.13862877982403,90.05483552425137,90.93826293945312,1335700
2016-06-02,90.8107702805378,91.27525415638833,90.42825741734914,91.202392578125,614600
2016-06-03,91.8490219116211,92.0493877742555,91.22060991790518,91.8490219116211,279900
2016-06-06,92.04936713264567,92.24973295034903,91.0748663407382,91.13861846923828,389000
2016-06-07,92.14044202398591,92.33169841242264,91.67596520140856,92.15866088867188,444400
2016-06-08,91.84901111308191,92.19510008911128,91.38452729962556,92.07669830322266,527300
2016-06-09,90.58306309906725,91.59399469220031,90.52842040164201,91.5757827758789,624600
2016-06-10,88.92551735020594,89.47196527169382,88.15138221572623,88.688720703125,1514900
2016-06-13,87.1039954885281,88.50654916538375,87.09488605696542,87.73241424560547,1055100
2016-06-14,85.15499252343518,86.2478880438171,85.00016693193213,86.15681457519531,1624300
2016-06-15,86.25701059107736,86.73060381745954,85.72877466490543,85.7743148803711,740100
2016-06-16,85.41910614221173,87.08577763300413,84.89087032297809,87.04023742675781,501300
2016-06-17,86.1659465326712,86.48470723041011,84.94553949901955,86.20237731933594,702400
2016-06-20,88.64317900524857,88.90729698103364,88.0785122692465,88.20601654052734,949900
2016-06-21,89.39911938518013,89.99110063806873,89.08946113203467,89.69966125488281,691700
2016-06-22,90.34627367433372,90.6650412972038,89.88179681239343,89.93643951416016,501700
2016-06-23,91.56667765645356,92.35903154874603,90.4555631000646,92.34081268310547,888700
2016-06-24,85.68323872787349,87.9783223775214,85.57394638323841,86.53023529052734,2063600
2016-06-27,84.15318920641533,84.60856359936297,83.01475322404625,84.2442626953125,2285900
2016-06-28,85.24607630550652,86.12950364978533,84.74516869325456,85.97467803955078,707900
2016-06-29,87.30437153925195,87.96921420369331,87.09489627948612,87.53205871582031,556100
2016-06-30,88.67963288530899,90.35540771484375,88.26979166505767,90.35540771484375,669800
2016-07-01,89.59035400773219,89.86357445441108,89.34444796241375,89.65410614013672,957500
2016-07-05,88.02385784871828,88.45191082323187,86.53933311170638,86.83077239990234,1007800
2016-07-06,85.08212748099864,86.4937905063725,84.55389165680428,86.42092895507812,1257500
2016-07-07,85.7014403489422,86.73969317863438,85.68322843458806,86.16592407226562,827900
2016-07-08,87.52293548770247,88.57940715571856,87.38632181360245,88.54297637939453,588200
2016-07-11,90.27340652904104,91.02932260962042,90.16411419221072,90.85628509521484,493000
2016-07-12,91.8672097731482,92.7415275571662,91.07485602429124,91.87631225585938,1280100
2016-07-13,92.06759656181565,92.7233368359585,91.85812822052468,92.0858154296875,547200
2016-07-14,94.47194835729825,94.58123373421141,93.44279806830019,93.77977752685547,1023800
