Date,Open,High,Low,Close,Volume
2016-04-01,25.727907226514123,25.8873618593355,25.5923697241455,25.871416091918945,18049700
2016-04-04,25.672104204002608,25.81561310095094,25.305359076171044,25.512649536132812,21581600
2016-04-05,25.42494375751791,25.60831552100285,25.289407775665545,25.43291664123535,20080000
2016-04-06,25.488729538959422,25.696019988017028,25.3292764001498,25.576431274414062,15740600
2016-04-07,25.424949280893838,25.432922166343328,24.994424111328193,25.15387725830078,23738200
2016-04-08,25.321304987473734,25.52859544858472,25.098068755352884,25.21765899658203,17031900
2016-04-11,25.43291974423162,25.783719067238696,25.24157507368383,25.249547958374023,19707700
2016-04-12,25.41697192686676,25.464809231153396,25.018336848511012,25.40102767944336,16774200
2016-04-13,25.488732115305552,25.656159676752054,25.472787864283614,25.616296768188477,19968100
2016-04-14,25.33725093997803,25.424949639815647,25.153877613395892,25.353195190429688,21620900
2016-04-15,25.345223460474894,25.424949273602117,25.018341239829148,25.082122802734375,28782800
2016-04-18,25.05820551439968,25.289413108270356,25.018341087406533,25.233604431152344,21566600
2016-04-19,25.273468175888222,25.36116687156093,25.034286182403235,25.193740844726562,33619300
2016-04-20,24.970505490182404,25.71993847542217,24.9146968126297,25.512649536132812,57629800
2016-04-21,25.464810436976368,25.560483529407854,25.361164460119575,25.488727569580078,28431400
2016-04-22,25.305351394204667,25.40102447001747,24.890770600135763,25.225624084472656,29625600
2016-04-25,25.002398551923207,25.114015913813848,24.874835418141764,25.026315689086914,19315700
2016-04-26,25.026313613739198,25.273468495533468,24.85091469950308,25.034286499023438,20976400
2016-04-27,24.914696460633767,25.353194510071965,24.86686066921762,25.313331604003906,20006200
2016-04-28,25.074147773302656,25.281436681944477,24.739294236821898,24.803075790405273,25146400
2016-04-29,24.603762705252137,24.611735590979315,23.99783707603897,24.141345977783203,36443700
2016-05-02,24.27688061778513,24.468225302374524,24.205126170980062,24.404443740844727,21086600
2016-05-03,24.24498489284359,24.364575109990803,23.9898586907503,24.205121994018555,27111100
2016-05-04,24.261415522326516,24.29358100311706,23.883462303643523,24.004085540771484,23278800
2016-05-05,24.02016872313652,24.140791958632747,23.923669214454947,24.044292449951172,23393300
2016-05-06,23.811085995020044,24.21316443987316,23.738711752241876,24.15687370300293,19632200
2016-05-09,24.189043149824084,24.261417404477044,23.931713148305924,23.963878631591797,16888300
2016-05-10,24.124707949100245,24.269456442204064,23.979959455996422,24.237289428710938,17013800
2016-05-11,24.25337820612164,24.325752468401685,24.100587926440657,24.172962188720703,15754200
2016-05-12,24.213168368068303,24.317708105814678,23.77892284095,23.931713104248047,20826700
2016-05-13,24.012126598512282,24.285540079442473,23.996043091679297,24.05233383178711,19999600
2016-05-16,24.044292967521603,24.575036442175747,24.028209460093855,24.438329696655273,21826100
2016-05-17,24.583074253670027,24.583074253670027,24.01212363581365,24.10862159729004,25709900
2016-05-18,24.148839537792128,24.32575355694447,23.947800252197545,24.11667251586914,22469900
2016-05-19,23.939754349100756,24.068419346885147,23.722631590161686,23.827171325683594,21740900
2016-05-20,23.907584843082812,24.430286533875204,23.883461117140264,24.245330810546875,22777300
2016-05-23,24.309661865234375,24.510701083174734,24.22924587129673,24.309661865234375,20881900
2016-05-24,24.526788147050073,25.025366154750753,24.486580911151773,24.977115631103516,23699200
2016-05-25,25.089694441223596,25.38723161806863,25.049485678266514,25.242483139038086,18359600
2016-05-26,25.322900772094727,25.435482248055003,25.25052652788953,25.322900772094727,12692300
2016-05-27,25.411358993915986,25.451566226416922,25.29073576260557,25.38723373413086,13341300
2016-05-31,25.338984007397904,25.45156548215447,25.17815201448205,25.403316497802734,23040200
2016-06-01,25.427446408517284,25.507860885878483,25.306821624859808,25.459611892700195,17753500
2016-06-02,25.37919559786775,25.540027618408203,25.29073936699754,25.540027618408203,14140100
2016-06-03,25.52394243696214,25.52394243696214,25.250528940245346,25.427444458007812,15777500
